[0.00001, 0.9791376912378302, 0.7549019607843137],
[0.00002, 0.9770354906054279, 0.775],
[0.00003, 0.9731426578304848, 0.7777777777777778],
[0.00004, 0.9700139470013946, 0.7788944723618091],
[0.00005, 0.9646482324116206, 0.7835051546391752],
[0.00006, 0.9592982456140352, 0.7888040712468193],
[0.00007, 0.9516072059342989, 0.7959183673469388],
[0.00008, 0.9419722321110714, 0.7948717948717948],
[0.00009, 0.9341445955619184, 0.796875],
[0.00010, 0.9299820466786355, 0.7958115183246074],
[0.00011, 0.9191149800507799, 0.8010471204188482],
[0.00012, 0.9113462240058373, 0.7968337730870713],
[0.00013, 0.9042201834862386, 0.7946666666666667],
[0.00014, 0.8970099667774085, 0.7999999999999999],
[0.00015, 0.8916913946587537, 0.7999999999999999]
